Nro_Tweet,Query,Usuario,Texto,Data de Criacao,Retweets,Likes
93,Palmeiras,Gabriel Amorim,"1.100 reais uma camisa do Palmeiras. 

Vai ter louco pagando ainda, tá maluco. 😂 https://t.co/UrhISj5xLK",Tue Jun 10 13:37:35 +0000 2025,21,462
94,Palmeiras,Gustavo Terini,"Perguntas e respostas com torcedor do Palmeiras:

• Trocaria o título da Copa do Brasil de 2012 pelo não rebaixamento naquele mesmo ano?

• Qual Mundial você preferia que o Verdão tivesse vencido: Chelsea em 2022 ou Manchester United em 1999?

🎥 @GoalBR https://t.co/EjFjHurUU0",Sat Jun 14 18:51:17 +0000 2025,1,121
95,Palmeiras,Club do Pacheco,"@GFalcade21 Flamengo x Leon 20 dólares , Palmeiras x Al Ahly 50 dólares diferença brutal https://t.co/ledPTh51Du",Fri Jun 13 15:21:20 +0000 2025,0,2
96,Palmeiras,Diego Firmino - Canal P de Porco,"Desfile da Puma com as camisas do Palmeiras - exclusivas da Copa do Mundo de Clubes.

🎥 Reprodução https://t.co/qdvwZgnLG8",Thu Jun 12 18:01:05 +0000 2025,56,1413
97,Palmeiras,Twit Palmeiras,"PÁ, ACESSO LIBERADO! ✅ https://t.co/8eDV7zn89c",Fri Jun 13 18:27:29 +0000 2025,52,940
98,Palmeiras,mj,"amigos, eu sonhei com o jogo entre Palmeiras x Porto. https://t.co/MyjePwUoni",Sat Jun 14 14:21:05 +0000 2025,0,27
99,Palmeiras,𝒅𝒚𝒉 ⛓️ VAI VER O LINKIN PARK,"spolier do aniversário do joão desse ano! 
ano passado ele ganhou um bolo com tema do palmeiras, esse ano vou fazer uma festa supresa com coisa do naruto 💅🏻 https://t.co/UhWupsFJh0",Sat Jun 14 18:16:18 +0000 2025,0,4
100,Palmeiras,CONMEBOL Libertadores,"🇧🇷💚 A CONMEBOL #Libertadores prepara para o @FIFACWC, né, @Palmeiras? 🐷

🏆 #GloriaEterna 🤝 #FIFACWC https://t.co/llQXc9PAGi",Thu Jun 12 20:00:01 +0000 2025,15,302
101,Palmeiras,Cifut Brasil,"🐷 Análise dos adversários do PALMEIRAS na fase de grupos do SUPERMUNDIAL!

Segue o fio! 🧶 https://t.co/9DljA1XzMd",Mon Jun 09 17:31:46 +0000 2025,41,1905
102,Palmeiras,𝐏𝐞𝐝𝐫𝐢𝐧𝐡𝐨 ,"Je me permet de compléter, pour moi mes quatre curiosités :

- Rodrigo Mora, 17 ans, FC Porto
- Dario Essugo - 20 ans, Chelsea
- Richard Rios - 25 ans, Palmeiras
- Arda Güler - 20 ans, Real Madrid

Mention bonus à Kenan Yildiz, Francisco Conceicão et Liam Delap. https://t.co/wrCoP1SjmR",Sat Jun 14 10:18:27 +0000 2025,6,31
